L	0.0229	2.9357	1477010443300000	-0.0118	2.9997	-0.0785	0.9969
L	-0.0150	3.7377	1477010444100000	-0.1797	3.7797	-0.3239	0.9461
L	-0.3217	4.4205	1477010444900000	-0.5364	4.4935	-0.5490	0.8358
L	-1.2391	4.8626	1477010445700000	-1.0593	5.0961	-0.7396	0.6730
L	-1.7351	5.3670	1477010446500000	-1.7157	5.5498	-0.8838	0.4679
L	-2.5294	5.7977	1477010447300000	-2.4643	5.8259	-0.9724	0.2334
L	-3.2390	5.8136	1477010448100000	-3.2580	5.9073	-0.9999	-0.0157
L	-4.1407	5.9556	1477010448900000	-4.0471	5.7886	-0.9646	-0.2639
L	-4.5856	5.6730	1477010449700000	-4.7818	5.4775	-0.8686	-0.4955
L	-5.4784	5.1165	1477010450500000	-5.4161	4.9934	-0.7181	-0.6959
L	-5.9306	4.3749	1477010451300000	-5.9101	4.3668	-0.5225	-0.8526
L	-6.0251	3.4678	1477010452100000	-6.2327	3.6371	-0.2941	-0.9558
L	-6.4590	2.7880	1477010452900000	-6.3637	2.8500	-0.0471	-0.9989
L	-6.2717	2.3304	1477010453700000	-6.2949	2.0550	0.2028	-0.9792
L	-6.0751	1.6818	1477010454500000	-6.0305	1.3022	0.4399	-0.8980
L	-5.6293	0.5878	1477010455300000	-5.5872	0.6388	0.6494	-0.7604
L	-4.7624	-0.0910	1477010456100000	-4.9928	0.1064	0.8181	-0.5750
L	-4.0863	-0.2547	1477010456900000	-4.2848	-0.2614	0.9354	-0.3535
L	-3.3064	-0.6551	1477010457700000	-3.5075	-0.4416	0.9940	-0.1098
L	-3.0956	-0.4369	1477010458500000	-2.7098	-0.4228	0.9900	0.1409
L	-1.5389	-0.2612	1477010459300000	-1.9419	-0.2062	0.9239	0.3827
L	-1.3232	0.2634	1477010460100000	-1.2519	0.1946	0.7997	0.6004
L	-0.9178	0.8982	1477010460900000	-0.6833	0.7543	0.6253	0.7804
L	-0.3415	1.4946	1477010461700000	-0.2717	1.4379	0.4115	0.9114
L	-0.3244	2.1762	1477010462500000	-0.0431	2.2024	0.1720	0.9851
L	-0.2962	2.8003	1477010463300000	0.0039	2.9999	0.0471	0.9989
L	0.1756	3.9090	1477010464100000	0.1473	3.7848	0.2941	0.9558
L	0.5410	4.4618	1477010464900000	0.4813	4.5094	0.5225	0.8526
L	0.9431	5.0848	1477010465700000	0.9851	5.1282	0.7181	0.6959
L	1.3125	5.6247	1477010466500000	1.6269	5.6023	0.8686	0.4954
L	2.6337	5.6897	1477010467300000	2.3664	5.9018	0.9646	0.2638
L	3.0501	6.1217	1477010468100000	3.1572	6.0080	0.9999	0.0157
L	4.0320	5.8040	1477010468900000	3.9496	5.9142	0.9724	-0.2335
L	4.6622	5.6520	1477010469700000	4.6938	5.6263	0.8838	-0.4680
L	5.3488	5.2001	1477010470500000	5.3430	5.1624	0.7396	-0.6730
L	5.7709	4.6604	1477010471300000	5.8564	4.5516	0.5490	-0.8358
L	6.0442	3.8580	1477010472100000	6.2018	3.8324	0.3239	-0.9461
L	6.6004	3.0473	1477010472900000	6.3574	3.0498	0.0784	-0.9969
L	6.2262	2.1356	1477010473700000	6.3136	2.2531	-0.1719	-0.9851
L	6.1238	1.6892	1477010474500000	6.0730	1.4923	-0.4115	-0.9114
L	5.7795	0.8022	1477010475300000	5.6507	0.8153	-0.6253	-0.7804
L	5.1491	0.2101	1477010476100000	5.0734	0.2645	-0.7997	-0.6004
L	4.3997	-0.0312	1477010476900000	4.3772	-0.1253	-0.9239	-0.3827
L	3.6326	-0.3684	1477010477700000	3.6060	-0.3298	-0.9900	-0.1409
L	2.8187	-0.2424	1477010478500000	2.8081	-0.3361	-0.9940	0.1097
L	2.0172	-0.3240	1477010479300000	2.0337	-0.1437	-0.9354	0.3535
L	1.3866	0.4932	1477010480100000	1.3315	0.2352	-0.8181	0.5750
L	0.5288	0.9468	1477010480900000	0.7456	0.7768	-0.6494	0.7604
L	0.3003	1.2828	1477010481700000	0.3128	1.4471	-0.4399	0.8980
L	0.0300	2.2973	1477010482500000	0.0603	2.2040	-0.2028	0.9792
