time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10.1651	1.36619	5.20413	0.24989	0.238375	radar	4.53006	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3931	1.4462	5.18322	0.270994	0.251561	lidar	1.0837	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6292	1.54285	5.14704	0.302327	0.283592	radar	4.30145	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8607	1.56915	5.1229	0.291685	0.251038	lidar	1.69263	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1234	1.62242	5.13967	0.290538	0.230971	radar	1.83456	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.4018	1.66025	5.16267	0.279705	0.199894	lidar	1.96384	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6361	1.7238	5.13599	0.288532	0.201311	radar	1.16175	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8697	1.78473	5.12074	0.293463	0.194919	lidar	0.504708	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1209	1.87546	5.14328	0.308313	0.198832	radar	1.10585	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3672	1.89777	5.12798	0.289844	0.16119	lidar	0.952581	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6205	1.95631	5.14361	0.287118	0.143725	radar	0.94325	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8214	2.09369	5.12041	0.331771	0.194327	lidar	3.31335	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.081	2.19648	5.16462	0.343853	0.190802	radar	3.51795	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2839	2.33945	5.14564	0.385875	0.234521	lidar	2.42659	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4684	2.49932	5.09467	0.442012	0.303595	radar	10.711	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7162	2.607	5.11147	0.452759	0.2971	lidar	0.74959	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.936	2.72616	5.10095	0.473592	0.307618	radar	0.231998	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1626	2.8741	5.11485	0.502939	0.325351	lidar	0.400533	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4097	2.97616	5.1431	0.497043	0.285965	radar	1.63093	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6214	3.04756	5.10632	0.489753	0.259558	lidar	2.42886	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8487	3.19532	5.13485	0.509454	0.260822	radar	3.84314	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0519	3.3859	5.14968	0.555602	0.303313	lidar	1.04498	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2619	3.554	5.15234	0.589602	0.332414	radar	2.38939	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4724	3.73741	5.17185	0.623614	0.353987	lidar	0.645411	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.6856	3.8709	5.16596	0.631351	0.340693	radar	0.986396	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9077	4.01087	5.17055	0.638721	0.327981	lidar	0.274478	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1033	4.1807	5.15738	0.671396	0.360419	radar	1.72229	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.2998	4.37202	5.17309	0.702312	0.376081	lidar	0.370913	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5099	4.53311	5.18247	0.712323	0.36169	radar	0.702616	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.6899	4.70292	5.17057	0.73385	0.3668	lidar	0.422864	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8406	4.91379	5.14125	0.794745	0.44784	radar	4.63873	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	17.0051	5.13344	5.15604	0.833827	0.468132	lidar	0.395761	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.1738	5.31412	5.14134	0.857716	0.47582	radar	1.85396	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3368	5.49359	5.1268	0.876457	0.470524	lidar	0.298545	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.4906	5.67801	5.10434	0.903838	0.486146	radar	3.50935	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.6914	5.80069	5.07076	0.887448	0.437867	lidar	2.57969	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8288	6.01353	5.05945	0.931181	0.481348	radar	1.27036	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.008	6.19341	5.05831	0.937254	0.458982	lidar	0.83518	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1533	6.40778	5.06426	0.96443	0.465051	radar	0.543431	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2768	6.6347	5.06873	0.999016	0.478814	lidar	0.26292	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4045	6.85623	5.06875	1.03053	0.493021	radar	0.19404	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5588	6.99745	5.01388	1.02427	0.458824	lidar	3.31237	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7061	7.20595	5.02314	1.03156	0.428719	radar	0.539216	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9102	7.34142	4.98837	1.00385	0.370797	lidar	4.91897	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	18.9905	7.56437	4.96079	1.05805	0.437649	radar	4.55108	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0843	7.80953	4.97468	1.0963	0.456986	lidar	0.530272	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.202	8.02378	4.97156	1.11265	0.446133	radar	0.392371	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.284	8.23404	4.94695	1.14108	0.455079	lidar	1.75633	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.3805	8.45115	4.94074	1.15704	0.437614	radar	2.48792	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4792	8.60558	4.87051	1.16211	0.421676	lidar	5.67752	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5643	8.82581	4.85979	1.19073	0.438934	radar	0.80217	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7329	8.99164	4.83059	1.16897	0.388158	lidar	4.96551	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.7987	9.22433	4.82416	1.21032	0.429928	radar	1.02946	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9355	9.4328	4.82535	1.20702	0.400019	lidar	2.73468	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9718	9.66891	4.80994	1.26321	0.468477	radar	2.86979	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0643	9.8927	4.81101	1.27657	0.456331	lidar	0.484812	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1221	10.1404	4.82864	1.30032	0.447661	radar	6.72408	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1738	10.3941	4.84704	1.33011	0.455366	lidar	0.321957	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.1846	10.6369	4.83745	1.38395	0.511443	radar	2.88801	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.247	10.8924	4.86062	1.4036	0.502966	lidar	1.51392	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.276	11.1453	4.87417	1.42946	0.495947	radar	4.7434	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.3114	11.3788	4.86659	1.45163	0.493433	lidar	0.0541425	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2518	11.6321	4.85727	1.53772	0.605835	radar	10.3384	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3255	11.867	4.85788	1.53906	0.572403	lidar	4.81699	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3529	12.1022	4.85621	1.53739	0.504791	radar	3.96272	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3436	12.3739	4.88636	1.57026	0.51106	lidar	0.853328	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.291	12.6148	4.87704	1.63423	0.586169	radar	3.05959	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3163	12.853	4.87266	1.64554	0.566135	lidar	1.88697	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.3022	13.0879	4.86431	1.67247	0.568433	radar	2.1375	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.265	13.3049	4.83851	1.70415	0.574204	lidar	1.22191	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2258	13.5414	4.83636	1.72863	0.559978	radar	1.35839	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2081	13.7926	4.84826	1.74717	0.548417	lidar	1.20023	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.1503	14.0229	4.8413	1.78532	0.570999	radar	0.849365	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.0977	14.2707	4.85411	1.8126	0.568549	lidar	0.259751	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0254	14.5005	4.85099	1.84331	0.567648	radar	1.40495	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
